,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
000001.XSHE,平安银行,PAYH,1991-04-03,2200-01-01,stock,000001.XSHE,1940591.8198,1940560.0653,2130.7698,2130.735,货币金融服务,综合性银行,股份制银行III,深股通|证金持股|融资融券|MSCI概念
000002.XSHE,万科A,WKA,1991-01-29,2200-01-01,stock,000002.XSHE,1193070.9471,971693.5865,387.7481,315.8004,房地产业,房地产开发,房地产开发III,冷链物流|装配式建筑|深股通|体育产业|证金持股|融资融券|超级品牌|粤港澳自贸区|物业管理|租售同权|空间计算|机器人概念|MSCI概念|养老概念
000004.XSHE,*ST国华,*STGH,1990-12-01,2200-01-01,stock,000004.XSHE,13238.0282,12628.9068,3.6537,3.4856,软件和信息技术服务业,通用软件,横向通用软件III,互联网金融|物联网|工业互联网|电力物联网|人工智能|人脸识别|5G|网络安全|云计算|粤港澳自贸区|储能|数据安全|信创|抖音概念|华为概念|车联网(车路协同)
000005.XSHE,ST星源,STXY,1990-12-10,2024-04-25,stock,000005.XSHE,,,,,,,,
000006.XSHE,深振业A,SZYA,1992-04-27,2200-01-01,stock,000006.XSHE,134999.5046,134998.4846,114.8846,114.8837,房地产业,房地产开发,房地产开发III,深圳国资改革|深股通|证金持股|融资融券|粤港澳自贸区|物业管理|国企改革
000007.XSHE,全新好,QXH,1992-04-13,2200-01-01,stock,000007.XSHE,34644.8044,34644.8044,42.6478,42.6478,房地产业,房地产管理,商业物业经营III,口罩|粤港澳自贸区|物业管理
000008.XSHE,神州高铁,SZGT,1992-05-07,2200-01-01,stock,000008.XSHE,271637.7683,271629.6952,70.3542,70.3521,铁路、船舶、航空航天和其他运输设备制造业,城轨铁路,铁路设备III,智慧城市|一带一路|工业4.0|深股通|高铁|职业教育|融资融券|转融券标的|国企改革|机器人概念|腾讯概念|华为概念|锂电池概念
000009.XSHE,中国宝安,ZGBA,1991-06-25,2200-01-01,stock,000009.XSHE,257921.3965,257602.0465,185.4455,185.2159,其他金融业,电池部件及材料,电池化学品III,石墨烯|无线充电|充电桩|3D打印|燃料电池|创投|一带一路|军工|深股通|农机|土地流转|生物医药|钴|石墨电极|举牌|融资融券|参股新三板|粤港澳自贸区|钠离子电池|储能|动力电池回收|物业管理|金属回收|比亚迪概念|减速器|氢能源|固态电池|人形机器人|北交所概念|机器人概念|宁德时代概念|黄金概念|小金属概念|锂电池概念
000010.XSHE,*ST美丽,*STML,1995-10-27,2200-01-01,stock,000010.XSHE,114965.2292,86814.2135,25.9821,19.62,土木工程建筑业,基础设施建设,园林工程III,新型城镇化|抽水蓄能|煤炭概念
000011.XSHE,深物业A,SWYA,1992-03-30,2200-01-01,stock,000011.XSHE,59597.9092,52647.5543,45.1752,39.9068,房地产业,房地产管理,房地产开发III,深圳国资改革|深股通|债转股|粤港澳自贸区|物业管理|国企改革|化债(AMC)|25中报预增
000012.XSHE,南玻A,NBA,1992-02-28,2200-01-01,stock,000012.XSHE,304246.8811,195931.6598,133.2601,85.8181,非金属矿物制品业,玻璃,玻璃制造III,汽车电子|特斯拉|OLED|一带一路|军工|深股通|雄安新区|融资融券|建筑节能|新能源|光伏概念|触摸屏
000014.XSHE,沙河股份,SHGF,1992-06-02,2200-01-01,stock,000014.XSHE,24204.6224,24204.6224,25.8263,25.8263,房地产业,房地产开发,房地产开发III,智能家居|深圳国资改革|股权转让|粤港澳自贸区|物业管理|国企改革
000016.XSHE,*ST康佳A,*STKJA,1992-03-27,2200-01-01,stock,000016.XSHE,240794.5408,159659.38,76.5727,50.7717,计算机、通信和其他电子设备制造业,白色家电,冰洗III,工业互联网|人工智能|网约车|5G|MiniLED|智能穿戴|智能家居|无线耳机|污水处理|创投|家用电器|股权转让|转融券标的|PCB概念|国企改革|芯片概念|腾讯概念|MicroLED|DeepSeek
000017.XSHE,深中华A,SZHA,1992-03-31,2200-01-01,stock,000017.XSHE,68918.4933,44082.1951,36.6646,23.4517,文教、工美、体育和娱乐用品制造业,珠宝与奢侈品,钟表珠宝III,新零售|智能穿戴|粤港澳自贸区|两轮车|黄金概念|锂电池概念|25中报预增
000018.XSHE,神城A退,SCAT,1992-06-16,2020-01-06,stock,000018.XSHE,,,,,,,,
000019.XSHE,深粮控股,SLKG,1992-10-12,2200-01-01,stock,000019.XSHE,115253.5254,41620.6407,73.9928,26.7205,批发业,贸易商,粮油加工III,冷链物流|一带一路|深圳国资改革|深股通|预制菜|数字乡村|粮食概念|国企改革
000020.XSHE,深华发A,SHFA,1992-04-28,2200-01-01,stock,000020.XSHE,28316.1227,18116.5391,35.2819,22.5732,计算机、通信和其他电子设备制造业,面板,显示器件III,粤港澳自贸区|物业管理
000021.XSHE,深科技,SKJ,1994-02-02,2200-01-01,stock,000021.XSHE,157436.978,157413.908,600.3072,600.2192,计算机、通信和其他电子设备制造业,安防设备及其他,消费电子零部件及组装III,物联网|超级电容|节能照明|汽车电子|区块链|无人机|智能电网|工业4.0|深股通|第三代半导体|融资融券|转融券标的|储能|虚拟电厂|国企改革|机器人概念|芯片概念|医疗器械概念|MSCI概念|集成电路概念
000022.XSHE,深赤湾A,SCWA,1993-05-05,2018-12-25,stock,000022.XSHE,,,,,,,,
000023.XSHE,*ST深天,*STST,1993-04-29,2024-08-30,stock,000023.XSHE,,,,,,,,
000024.XSHE,招商地产,ZSDC,1993-06-07,2015-12-29,stock,000024.XSHE,,,,,,,,
000025.XSHE,特力A,TLA,1993-06-21,2200-01-01,stock,000025.XSHE,43105.832,39277.832,65.8657,60.0165,批发业,房地产管理,综合III,深圳国资改革|深股通|融资融券|粤港澳自贸区|转融券标的|物业管理|国企改革|黄金概念
000026.XSHE,飞亚达,FYD,1993-06-03,2200-01-01,stock,000026.XSHE,40576.4007,36456.0733,91.5404,82.2449,零售业,珠宝与奢侈品,钟表珠宝III,智能穿戴|深股通|减速器|国企改革|人形机器人|商业航天|机器人概念
000027.XSHE,深圳能源,SZNY,1993-09-03,2200-01-01,stock,000027.XSHE,475738.9916,475738.9916,346.8137,346.8137,电力、热力生产和供应业,火电,火电III,数据中心|充电桩|参股券商|风电|固废处理|节能环保|垃圾分类|碳中和|创投|深圳国资改革|深股通|天然气|融资融券|参股新三板|粤港澳自贸区|新能源|储能|绿色电力|碳交易|超超临界发电|虚拟电厂|氢能源|三季报预增|国企改革|MSCI概念|华为概念|DeepSeek
000028.XSHE,国药一致,GYYZ,1993-08-09,2200-01-01,stock,000028.XSHE,55656.5077,47805.285,126.8412,108.9482,批发业,医药商业,医药流通III,冷链物流|智能医疗|深股通|医药电商|融资融券|互联网医疗|国企改革|医疗器械概念
000029.XSHE,深深房A,SSFA,1993-09-15,2200-01-01,stock,000029.XSHE,101166.0,89166.0,233.5923,205.8843,房地产业,房地产开发,房地产开发III,深圳国资改革|深股通|融资融券|粤港澳自贸区|转融券标的|物业管理|国企改革|24中报预增|25中报预增
000030.XSHE,富奥股份,FAGF,1993-09-29,2200-01-01,stock,000030.XSHE,171981.0845,167090.607,77.7355,75.525,汽车制造业,汽车系统部件,底盘与发动机系统III,汽车电子|无人驾驶|深股通|证金持股|融资融券|储能|换电概念|动力电池回收|华为汽车|比亚迪概念|汽车热管理|国企改革|智能座舱|小米汽车|飞行汽车(eVTOL)|低空经济|宁德时代概念|小米概念|参股保险|车联网(车路协同)|锂电池概念
000031.XSHE,大悦城,DYC,1993-10-08,2200-01-01,stock,000031.XSHE,428631.3339,428630.4701,113.5873,113.5871,房地产业,房地产开发,商业地产III,深股通|证金持股|融资融券|粤港澳自贸区|物业管理|国企改革
000032.XSHE,深桑达A,SSDA,1993-10-28,2200-01-01,stock,000032.XSHE,121517.9311,113795.9234,193.2135,180.9355,建筑安装业,建筑装修,其他专业工程III,阿里|安防|工业互联网|数据中心|节能照明|人工智能|大数据|云计算|国产操作系统|智慧城市|智能医疗|智能交通|数字孪生|碳中和|深股通|高铁|乡村振兴|体育产业|柔性屏|融资融券|粤港澳自贸区|转融券标的|专精特新|元宇宙|数据安全|智慧政务|数字乡村|华为鲲鹏|数字经济|方舱医院|信创|国企改革|数据要素|算力租赁|数据确权|可控核聚变|低空经济|AI语料|芯片概念|抖音概念|国资云|DeepSeek
000033.XSHE,新都退,XDT,1994-01-03,2017-07-07,stock,000033.XSHE,,,,,,,,
000034.XSHE,神州数码,SZSM,1994-05-09,2200-01-01,stock,000034.XSHE,101673.9663,84914.7842,248.4912,207.5317,批发业,专营零售,IT服务III,阿里|物联网|数据中心|区块链|人工智能|无人驾驶|边缘计算|网络安全|云计算|数字孪生|深股通|乡村振兴|融资融券|转融券标的|华为海思概念|数据安全|华为鲲鹏|信创|英伟达概念|华为昇腾|低空经济|机器人概念|芯片概念|抖音概念|腾讯概念|华为概念|智谱AI|ChatGPT|DeepSeek
000035.XSHE,中国天楹,ZGTY,1994-04-08,2200-01-01,stock,000035.XSHE,238803.2769,231302.5748,131.5806,127.4477,生态保护和环境治理业,固废处理,固废治理III,人工智能|风电|固废处理|节能环保|垃圾分类|一带一路|深股通|融资融券|转融券标的|储能|绿色电力|氢能源|机器人概念|24中报预增
000036.XSHE,华联控股,HLKG,1994-06-17,2200-01-01,stock,000036.XSHE,140381.8725,140298.1231,71.7351,71.6923,房地产业,房地产服务,房地产开发III,碳中和|深股通|盐湖提锂|融资融券|物业管理|锂电池概念
000037.XSHE,深南电A,SNDA,1994-07-01,2200-01-01,stock,000037.XSHE,60276.2596,33890.815,66.0025,37.1104,电力、热力生产和供应业,火电,火电III,固废处理|节能环保|核电|粤港澳自贸区|储能
000038.XSHE,大通退,DTT,1994-08-08,2023-07-11,stock,000038.XSHE,,,,,,,,
000039.XSHE,中集集团,ZJJT,1994-04-08,2200-01-01,stock,000039.XSHE,539252.0385,230140.7141,532.2418,227.1489,金属制品业,船舶及其他航运设备,金属制品III,物联网|工业互联网|数据中心|人工智能|无人驾驶|冷链物流|参股券商|风电|一带一路|海工装备|深股通|核电|可燃冰|雄安新区|天然气|融资融券|粤港澳自贸区|储能|统一大市场|机器视觉|氢能源|商业航天|机器人概念|航运概念|24中报预增|24三季报预增|年报预增|DeepSeek|25一季报预增
000040.XSHE,*ST旭蓝,*STXL,1994-08-08,2025-04-29,stock,000040.XSHE,,,,,,,,新能源
000042.XSHE,中洲控股,ZZKG,1994-09-21,2200-01-01,stock,000042.XSHE,66483.1139,66410.2477,66.2837,66.211,房地产业,房地产开发,房地产开发III,深股通|融资融券|粤港澳自贸区|转融券标的|物业管理
000043.XSHE,中航善达,ZHSD,1994-09-28,2019-12-13,stock,000043.XSHE,,,,,,,,
000045.XSHE,深纺织A,SFZA,1994-08-15,2200-01-01,stock,000045.XSHE,50652.1849,45702.1849,58.4526,52.7403,计算机、通信和其他电子设备制造业,面板,显示器件III,虚拟现实|OLED|深圳国资改革|深股通|粤港澳自贸区|国企改革
000046.XSHE,*ST泛海,*STFH,1994-09-12,2024-02-06,stock,000046.XSHE,,,,,,,,
000048.XSHE,京基智农,JJZN,1994-11-01,2200-01-01,stock,000048.XSHE,53020.275,52930.275,74.7586,74.6317,畜牧业,房地产开发,生猪养殖III,深股通|乡村振兴|养鸡|猪肉|融资融券|粤港澳自贸区|转融券标的|物业管理|人形机器人|机器人概念|文化传媒概念
000049.XSHE,德赛电池,DSDC,1995-03-20,2200-01-01,stock,000049.XSHE,38463.8534,38453.4862,94.0826,94.0572,电气机械和器材制造业,电池,锂电池III,物联网|5G|无人机|智能穿戴|智能家居|无线耳机|深股通|融资融券|粤港澳自贸区|钠离子电池|储能|恒大概念|比亚迪概念|固态电池|机器人概念|小米概念|苹果概念|华为概念|锂电池概念
000050.XSHE,深天马A,STMA,1995-03-15,2200-01-01,stock,000050.XSHE,243577.5599,243575.6474,209.7203,209.7186,计算机、通信和其他电子设备制造业,面板,显示器件III,虚拟现实|OLED|MiniLED|智能穿戴|智能家居|碳中和|深股通|柔性屏|融资融券|电子纸|国企改革|智能座舱|芯片概念|小米概念|MSCI概念|苹果概念|华为概念|MicroLED|触摸屏
000055.XSHE,方大集团,FDJT,1996-04-15,2200-01-01,stock,000055.XSHE,107387.4227,67585.4429,39.4112,24.8039,金属制品业,建筑装修,其他建材III,节能照明|装配式建筑|一带一路|高铁|乡村振兴|新材料|融资融券|粤港澳自贸区|建筑节能|新能源|转融券标的|绿色电力|物业管理|数字经济|光伏概念|房屋检测|DeepSeek
000056.XSHE,*ST皇庭,*STHT,1996-07-08,2200-01-01,stock,000056.XSHE,118252.822,90373.3208,21.7585,16.6287,商务服务业,房地产服务,物业管理III,物联网|转融券标的|物业管理|租售同权|固态电池|芯片概念
000058.XSHE,深赛格,SSG,1996-12-26,2200-01-01,stock,000058.XSHE,123120.0672,98473.9354,87.0459,69.6211,商务服务业,市场服务,商业物业经营III,创投|深圳国资改革|深股通|电子竞技|融资融券|参股新三板|新能源|转融券标的|物业管理|国企改革|商业航天|光伏概念|华为概念
000059.XSHE,华锦股份,HJGF,1997-01-30,2200-01-01,stock,000059.XSHE,159944.2537,159941.2987,74.0542,74.0528,石油、煤炭及其他燃料加工业,燃油炼制,炼油化工III,深股通|石墨电极|融资融券|化肥|国企改革|煤化工概念
000060.XSHE,中金岭南,ZJLN,1997-01-23,2200-01-01,stock,000060.XSHE,444117.2458,444111.6208,330.8673,330.8632,有色金属冶炼和压延加工业,铜,铅锌III,深股通|稀缺资源|钴|融资融券|金属回收|国企改革|黄金概念|小金属概念|期货概念|DeepSeek
000061.XSHE,农产品,NCP,1997-01-10,2200-01-01,stock,000061.XSHE,198496.1198,179431.1988,123.2661,111.4268,商务服务业,市场服务,商业物业经营III,区块链|冷链物流|新零售|食品安全|深圳国资改革|深股通|农村电商|农机|乡村振兴|农业种植|证金持股|融资融券|粤港澳自贸区|统一大市场|国企改革|26一季报预增
000062.XSHE,深圳华强,SZHQ,1997-01-30,2200-01-01,stock,000062.XSHE,104590.9322,104490.0077,352.0531,351.7134,批发业,贸易商,其他电子III,互联网金融|汽车电子|智慧城市|创投|深股通|雄安新区|第三代半导体|证金持股|融资融券|粤港澳自贸区|华为海思概念|传感器|比亚迪概念|华为昇腾|人形机器人|机器人概念|芯片概念|华为概念|6G|25一季报预增|26一季报预增
000063.XSHE,中兴通讯,ZXTX,1997-11-18,2200-01-01,stock,000063.XSHE,478353.4887,402762.1232,1871.7972,1576.0082,计算机、通信和其他电子设备制造业,通信系统设备及组件,通信网络设备及器件III,物联网|数据中心|汽车电子|区块链|人工智能|虚拟现实|边缘计算|5G|网络安全|无人机|国产操作系统|智慧城市|智能穿戴|智能医疗|深股通|乡村振兴|证金持股|融资融券|量子通信|粤港澳自贸区|元宇宙|储能|汽车芯片|数字经济|比亚迪概念|太赫兹|人形机器人|AI手机|低空经济|机器人概念|芯片概念|百度概念|抖音概念|MSCI概念|车联网(车路协同)|AI眼镜|6G|ChatGPT|DeepSeek
000065.XSHE,北方国际,BFGJ,1998-06-05,2200-01-01,stock,000065.XSHE,116144.2159,97496.2288,144.0188,120.8953,批发业,物流综合,国际工程承包III,无人机|风电|一带一路|深股通|融资融券|新能源|转融券标的|绿色电力|超超临界发电|虚拟电厂|国企改革|煤炭概念
000066.XSHE,中国长城,ZGCC,1997-06-26,2200-01-01,stock,000066.XSHE,322579.9088,322554.9838,549.9987,549.9562,计算机、通信和其他电子设备制造业,电脑与外围设备,其他计算机设备III,数据中心|汽车电子|区块链|人工智能|5G|大数据|国产软件|网络安全|国产操作系统|智慧城市|智能电网|海工装备|军工|军民融合|深股通|融资融券|量子通信|粤港澳自贸区|转融券标的|钠离子电池|数据安全|互联网医疗|华为鲲鹏|数字经济|信创|国企改革|商业航天|芯片概念|百度概念|MSCI概念|华为概念|车联网(车路协同)|锂电池概念|集成电路概念|DeepSeek
000068.XSHE,华控赛格,HKSG,1997-06-11,2200-01-01,stock,000068.XSHE,100667.1464,100667.1464,35.8375,35.8375,批发业,贸易商,综合环境治理III,智慧城市|创投|粤港澳自贸区|国企改革|锂电池概念
000069.XSHE,华侨城A,HQCA,1997-09-10,2200-01-01,stock,000069.XSHE,803775.8053,689860.1781,155.1287,133.143,房地产业,景点,商业地产III,参股券商|深股通|特色小镇|体育产业|融资融券|粤港澳自贸区|在线旅游|物业管理|国企改革|MSCI概念|旅游概念|DeepSeek
000070.XSHE,特发信息,TFXX,2000-05-11,2200-01-01,stock,000070.XSHE,86839.2949,85672.7041,172.9839,170.66,计算机、通信和其他电子设备制造业,通信系统设备及组件,通信线缆及配套III,阿里|今日头条|数据中心|人工智能|5G|大飞机|大数据|无人机|智慧城市|智能电网|创投|一带一路|深圳国资改革|军工|深股通|高铁|特高压|摘帽|粤港澳自贸区|传感器|智慧灯杆|物业管理|5G概念|信创|国企改革|成飞概念|算力租赁|低空经济|军工信息化|百度概念|抖音概念|光伏概念|腾讯概念|华为概念|24中报预增|F5G|国资云|6G|光纤
000078.XSHE,ST海王,STHW,1998-12-18,2200-01-01,stock,000078.XSHE,263112.3257,262521.5704,46.5709,46.4663,批发业,医药商业,医药流通III,冷链物流|健康中国|医药电商|粤港澳自贸区|仿制药一致性评价|创新药|流感|医疗器械概念
000088.XSHE,盐田港,YTG,1997-07-28,2200-01-01,stock,000088.XSHE,519948.3346,316288.571,228.2573,138.8507,水上运输业,港口,港口III,冷链物流|深圳国资改革|深股通|雄安新区|融资融券|粤港澳自贸区|统一大市场|国企改革|华为概念|航运概念
000089.XSHE,深圳机场,SZJC,1998-04-20,2200-01-01,stock,000089.XSHE,205076.9509,205076.9509,134.9406,134.9406,航空运输业,机场,机场III,跨境电商|深圳国资改革|深股通|证金持股|融资融券|粤港澳自贸区|国企改革|华为概念
000090.XSHE,天健集团,TJJT,1999-07-21,2200-01-01,stock,000090.XSHE,186854.5434,186843.1434,65.5859,65.5819,土木工程建筑业,基础设施建设,房地产开发III,人工智能|数字孪生|深圳国资改革|深股通|融资融券|粤港澳自贸区|物业管理|租售同权|国企改革|机器人概念
000096.XSHE,广聚能源,GJNY,2000-07-24,2200-01-01,stock,000096.XSHE,52800.0,51084.8,42.768,41.3787,批发业,油气流通及其他,油品石化贸易III,数据中心|深股通|粤港澳自贸区|虚拟电厂|国企改革|国资云
000099.XSHE,中信海直,ZXHZ,2000-07-31,2200-01-01,stock,000099.XSHE,77577.0137,77577.0137,117.9171,117.9171,航空运输业,航空运输,航空运输III,无人机|风电|军工|通用航空|深股通|融资融券|粤港澳自贸区|国企改革|飞行汽车(eVTOL)|低空经济|旅游概念|华为概念
000100.XSHE,TCL科技,TCLKJ,2004-01-30,2200-01-01,stock,000100.XSHE,2080086.2447,1913203.4302,1017.1622,935.5565,计算机、通信和其他电子设备制造业,面板,显示器件III,工业互联网|虚拟现实|OLED|MiniLED|工业4.0|深股通|柔性屏|融资融券|参股新三板|超级品牌|粤港澳自贸区|绿色电力|比亚迪概念|芯片概念|光伏概念|小米概念|MSCI概念|华为概念|集成电路概念|24中报预增|MicroLED|25中报预增
000150.XSHE,*ST宜康,*STYK,2000-08-07,2023-06-08,stock,000150.XSHE,,,,,,,,
000151.XSHE,中成股份,ZCGF,2000-09-06,2200-01-01,stock,000151.XSHE,35090.6286,30793.4695,48.8111,42.8337,批发业,贸易商,贸易III,固废处理|污水处理|碳中和|一带一路|京津冀一体化|新材料|融资融券|股权转让|储能|国企改革|光伏概念|中俄贸易
000153.XSHE,丰原药业,FYYY,2000-09-20,2200-01-01,stock,000153.XSHE,46468.5522,45886.8497,26.0224,25.6966,医药制造业,药品制剂,化学制剂III,创投|生物医药|眼科医疗|仿制药一致性评价|代糖概念|流感|维生素
000155.XSHE,川能动力,CNDL,2000-09-26,2200-01-01,stock,000155.XSHE,184616.8342,184616.8342,246.8327,246.8327,,,,风电|固废处理|节能环保|深股通|盐湖提锂|磷化工|融资融券|转融券标的|储能|绿色电力|国企改革|小金属概念|锂电池概念
000156.XSHE,华数传媒,HSCM,2000-09-06,2200-01-01,stock,000156.XSHE,185293.2442,169987.5877,124.1465,113.8917,电信、广播电视和卫星传输服务,广播与电视,电视广播III,阿里|物联网|人工智能|虚拟现实|5G|大数据|网络安全|智慧城市|智能家居|智能音箱|杭州亚运会|深股通|乡村振兴|融资融券|虚拟数字人|智慧政务|数字乡村|数字经济|信创|国企改革|机器人概念|抖音概念|文化传媒概念|腾讯概念|养老概念|旅游概念|车联网(车路协同)|DeepSeek
000157.XSHE,中联重科,ZLZK,2000-10-12,2200-01-01,stock,000157.XSHE,864853.5236,706966.96,650.3698,531.6392,专用设备制造业,工程机械,工程机械整机III,物联网|工业互联网|人工智能|无人驾驶|燃料电池|无人机|一带一路|深股通|农机|乡村振兴|融资融券|高端装备|氢能源|固态电池|新型工业化|人形机器人|机器人概念|百度概念|MSCI概念
000158.XSHE,常山北明,CSBM,2000-07-24,2200-01-01,stock,000158.XSHE,159861.6721,158791.1596,232.5987,231.0411,软件和信息技术服务业,系统集成服务,IT服务III,阿里|互联网金融|工业互联网|数据中心|区块链|人工智能|冷链物流|充电桩|大数据|国产软件|网络安全|云计算|智慧城市|智能交通|深股通|京津冀一体化|融资融券|转融券标的|数据安全|智慧政务|物业管理|华为鲲鹏|数字经济|信创|国企改革|ERP概念|数据确权|华为昇腾|百度概念|抖音概念|腾讯概念|华为概念|车联网(车路协同)|智谱AI|华为盘古|国资云|DeepSeek|AI应用
000159.XSHE,国际实业,GJSY,2000-09-26,2200-01-01,stock,000159.XSHE,48068.5993,48066.8493,33.648,33.6468,批发业,油气流通及其他,光伏辅材III,一带一路|特高压|新疆振兴|乡村振兴|融资融券|转融券标的|光伏概念|西部大开发
000166.XSHE,申万宏源,SWHY,2015-01-26,2200-01-01,stock,000166.XSHE,2503994.456,2253550.7316,1084.2296,975.7875,资本市场服务,证券公司,证券III,深股通|新疆振兴|证金持股|融资融券|国企改革|MSCI概念|期货概念|西部大开发|25中报预增
000301.XSHE,东方盛虹,DFSH,2000-05-29,2200-01-01,stock,000301.XSHE,661123.232,660812.7874,783.431,783.0632,化学原料和化学制品制造业,其他化学原料,炼油化工III,工业互联网|深股通|融资融券|转融券标的|POE胶膜|煤化工概念|光伏概念|锂电池概念
000333.XSHE,美的集团,MDJT,2013-09-18,2200-01-01,stock,000333.XSHE,761323.3248,686203.7799,6219.2502,5605.5987,电气机械和器材制造业,白色家电,空调III,物联网|工业互联网|数据中心|智能电网|智能家居|一带一路|工业4.0|深股通|家用电器|证金持股|融资融券|超级品牌|净水概念|MCU芯片|人形机器人|机器人概念|芯片概念|华为概念|智能制造
000338.XSHE,潍柴动力,WCDL,2007-04-30,2200-01-01,stock,000338.XSHE,866214.4621,495323.3422,2695.6594,1541.4462,汽车制造业,商用车,底盘与发动机系统III,数据中心|汽车电子|无人驾驶|燃料电池|深股通|农机|证金持股|融资融券|高端装备|储能|比亚迪概念|氢能源|国企改革|固态电池|MSCI概念|车联网(车路协同)|锂电池概念|DeepSeek
000400.XSHE,许继电气,XJDQ,1997-04-18,2200-01-01,stock,000400.XSHE,101862.2249,101170.1259,236.2185,234.6135,电气机械和器材制造业,电网自动化,电网自动化III,电力物联网|数据中心|无线充电|充电桩|智能电网|一带一路|深股通|特高压|新疆振兴|融资融券|高端装备|储能|换电概念|抽水蓄能|虚拟电厂|氢能源|国企改革|可控核聚变|人形机器人|光伏概念
000401.XSHE,金隅冀东,JYJD,1996-06-14,2200-01-01,stock,000401.XSHE,265821.7235,263135.4635,104.9996,103.9385,非金属矿物制品业,水泥与混凝土,水泥制造III,固废处理|深股通|核电|京津冀一体化|雄安新区|债转股|融资融券|国企改革|MSCI概念|水泥概念|化债(AMC)
000402.XSHE,金融街,JRJ,1996-06-26,2200-01-01,stock,000402.XSHE,298892.9907,298865.3947,87.5756,87.5676,房地产业,房地产开发,商业地产III,参股券商|碳中和|装配式建筑|深股通|京津冀一体化|特色小镇|证金持股|融资融券|物业管理|碳交易|国企改革|MSCI概念
000403.XSHE,派林生物,PLSW,1996-06-28,2200-01-01,stock,000403.XSHE,95039.7386,94068.3879,120.9856,119.7491,医药制造业,血液制品,血液制品III,深股通|生物医药|融资融券|股权转让|转融券标的|肝炎概念|三季报预增|国企改革|24中报预增|24三季报预增|DeepSeek
000404.XSHE,长虹华意,CHHY,1996-06-19,2200-01-01,stock,000404.XSHE,69599.5979,69272.8247,57.2109,56.9423,通用设备制造业,家电零部件及其他,家电零部件III,冷链物流|智能家居|工业4.0|深股通|家用电器|融资融券|汽车热管理|国企改革|锂电池概念
000406.XSHE,石油大明,SYDM,1996-06-28,2006-04-20,stock,000406.XSHE,,,,,,,,
000407.XSHE,胜利股份,SLGF,1996-07-03,2200-01-01,stock,000407.XSHE,88008.4656,87577.4762,36.7875,36.6074,燃气生产和供应业,燃气,燃气III,地下管网|天然气|页岩气|股权转让|俄乌冲突概念|合成生物
000408.XSHE,藏格矿业,CGKY,1996-06-28,2200-01-01,stock,000408.XSHE,156891.4754,156889.8254,1193.6303,1193.6178,化学原料和化学制品制造业,钾肥,锂III,深股通|盐湖提锂|融资融券|转融券标的|化肥|国企改革|黄金概念|小金属概念|锂电池概念|西部大开发
000409.XSHE,云鼎科技,YDKJ,1996-06-27,2200-01-01,stock,000409.XSHE,67775.0505,59048.3384,64.7252,56.3912,软件和信息技术服务业,系统集成服务,IT服务III,物联网|工业互联网|数据中心|人工智能|5G|国产软件|网络安全|云计算|国产操作系统|智能穿戴|智能电网|军民融合|深股通|参股新三板|数字经济|三季报预增|国企改革|时空大数据|ERP概念|数据要素|空间计算|新型工业化|华为昇腾|煤化工概念|机器人概念|光伏概念|腾讯概念|华为概念|24中报预增|华为盘古|年报预增|DeepSeek|智能制造
000410.XSHE,沈阳机床,SYJC,1996-07-18,2200-01-01,stock,000410.XSHE,264907.3009,197101.8333,139.6061,103.8727,通用设备制造业,电动机与工控自动化,机床工具III,工业互联网|工业4.0|深股通|职业教育|融资融券|股权转让|高端装备|转融券标的|工业母机|国企改革|新型工业化
000411.XSHE,英特集团,YTJT,1996-07-16,2200-01-01,stock,000411.XSHE,56484.9146,56373.5936,64.3363,64.2095,批发业,医药商业,医药流通III,跨境电商|冷链物流|深股通|医药电商|股权转让|互联网医疗|数字经济|国企改革|减肥药|医疗器械概念
000413.XSHE,ST旭电,STXD,1996-09-25,2024-10-10,stock,000413.XSHE,,,,,,,,节能照明|MSCI概念
000415.XSHE,渤海租赁,BHZL,1996-07-16,2200-01-01,stock,000415.XSHE,618452.1282,539291.3958,240.5779,209.7844,租赁业,其他商业服务与用品,租赁III,深股通|新疆振兴|雄安新区|融资融券|飞行汽车(eVTOL)|低空经济|MSCI概念|参股保险|西部大开发
000416.XSHE,*ST民控,*STMK,1996-07-19,2024-06-03,stock,000416.XSHE,,,,,,,,
000417.XSHE,合百集团,HBJT,1996-08-12,2200-01-01,stock,000417.XSHE,77988.42,77902.7451,58.4913,58.4271,零售业,超市与便利店,多业态零售III,互联网金融|人工智能|跨境电商|冷链物流|新零售|充电桩|创投|农村电商|乡村振兴|证金持股|融资融券|O2O概念|参股民营银行|虚拟数字人|统一大市场|国企改革|黄金概念|啤酒概念|养老概念
000418.XSHE,小天鹅A,XTEA,1997-03-28,2019-06-20,stock,000418.XSHE,,,,,,,,
000419.XSHE,通程控股,TCKG,1996-08-16,2200-01-01,stock,000419.XSHE,54358.2655,54358.2655,27.7771,27.7771,零售业,百货商店,多业态零售III,互联网金融|新零售|股权转让|物业管理|国企改革|参股保险|旅游概念
000420.XSHE,吉林化纤,JLHX,1996-08-02,2200-01-01,stock,000420.XSHE,245886.8343,245803.5643,110.1573,110.12,化学纤维制造业,粘胶,粘胶III,大飞机|无人机|风电|深股通|体育产业|融资融券|转融券标的|碳纤维|国企改革|飞行汽车(eVTOL)|低空经济
