,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
002513.XSHE,蓝丰生化,LFSH,2010-12-03,2200-01-01,stock,002513.XSHE,37559.3978,28904.1302,21.0708,16.2152,电气机械和器材制造业,光伏设备,农药III,生态农业|草甘膦|分散染料|光伏概念
002514.XSHE,*ST宝馨,*STBX,2010-12-03,2200-01-01,stock,002514.XSHE,72003.4264,55403.2614,29.1614,22.4383,金属制品业,其他通用机械,金属制品III,充电桩|智能电网|节能环保|污水处理|碳中和|一带一路|工业母机|储能|换电概念|钙钛矿电池|人形机器人|机器人概念|光伏概念|养老概念|华为概念|智能制造
002515.XSHE,金字火腿,JZHT,2010-12-03,2200-01-01,stock,002515.XSHE,121061.4164,110184.8924,80.869,73.6035,农副食品加工业,肉制品,肉制品III,数据中心|新零售|深股通|人造肉|预制菜|芯片概念
002516.XSHE,旷达科技,KDKJ,2010-12-07,2200-01-01,stock,002516.XSHE,147083.8682,145742.8682,89.1328,88.3202,纺织业,汽车内饰与外饰,车身附件及饰件III,汽车电子|无人驾驶|5G|智能穿戴|深股通|股权转让|新能源|绿色电力|华为汽车|汽车芯片|国企改革|抗病毒面料|商业航天|芯片概念
002517.XSHE,恺英网络,KYWL,2010-12-07,2200-01-01,stock,002517.XSHE,213644.3234,188908.6673,325.1667,287.519,互联网和相关服务,游戏,游戏III,网络游戏|区块链|人工智能|虚拟现实|深股通|电子竞技|融资融券|转融券标的|元宇宙|腾讯概念|华为概念
002518.XSHE,科士达,KSD,2010-12-07,2200-01-01,stock,002518.XSHE,58222.5094,56513.6453,296.3526,287.6545,电气机械和器材制造业,其他储能设备,其它电源设备III,阿里|数据中心|人工智能|充电桩|智能医疗|风电|深股通|融资融券|粤港澳自贸区|新能源|储能|比亚迪概念|宁德时代概念|抖音概念|光伏概念|锂电池概念
002519.XSHE,银河电子,YHDZ,2010-12-07,2200-01-01,stock,002519.XSHE,112643.0898,111760.4471,74.5697,73.9854,计算机、通信和其他电子设备制造业,国防装备,地面兵装III,安防|人工智能|充电桩|智能电网|智能家居|创投|军工|军民融合|深股通|核电|融资融券|转融券标的|专精特新|储能|比亚迪概念|新型工业化|军工信息化|机器人概念|宁德时代概念|光伏概念|锂电池概念
002520.XSHE,日发精机,RFJJ,2010-12-10,2200-01-01,stock,002520.XSHE,75024.5171,71744.0171,47.6406,45.5575,通用设备制造业,电动机与工控自动化,机床工具III,大飞机|风电|一带一路|工业4.0|通用航空|军民融合|深股通|融资融券|转融券标的|工业母机|数字经济|航空发动机|减速器|成飞概念|新型工业化|人形机器人|机器人概念
002521.XSHE,齐峰新材,QFXC,2010-12-10,2200-01-01,stock,002521.XSHE,56006.105,41917.359,41.5565,31.1027,造纸和纸制品业,纸制品,特种纸III,污水处理|深股通|可降解塑料|融资融券|24中报预增|26一季报预增
002522.XSHE,浙江众成,ZJZC,2010-12-10,2200-01-01,stock,002522.XSHE,90577.9387,90501.9879,66.0313,65.9759,橡胶和塑料制品业,金属、玻璃与塑料包装,膜材料III,5G|长三角一体化|新材料|融资融券|转融券标的|专精特新|传感器|国企改革|华为概念|光纤
